Name,Price,Market_Cap,Volume(24H),Circulating Supply
BTC,"$59,780.86","$1,180,942,036,520","$14,665,615,460","19,754,518 BTC"
ETH,"$2,377.54","$286,106,670,907","$7,773,380,565","120,337,372 ETH"
USDT,$1.00,"$118,849,733,202","$28,582,539,118","118,810,537,791 USDT"
BNB,$555.54,"$81,072,544,377","$1,459,292,866","145,934,030 BNB"
SOL,$133.29,"$62,410,058,775","$1,063,239,884","468,229,143 SOL"
USDC,$1.00,"$35,734,630,150","$2,704,634,980","35,732,967,921 USDC"
XRP,$0.5838,"$32,918,278,869","$870,235,137","56,386,022,594 XRP"
DOGE,$0.1047,"$15,286,189,859","$358,996,437","145,969,076,384 DOGE"
TON,$5.62,"$14,235,706,303","$209,459,093","2,533,011,501 TON"
TRX,$0.149,"$12,918,239,494","$220,685,724","86,695,381,881 TRX"
ADA,$0.3438,"$12,363,906,472","$168,335,523","35,960,643,044 ADA"
AVAX,$24.43,"$9,912,844,366","$179,761,819","405,810,382 AVAX"
SHIB,$0.00001366,"$8,049,909,562","$95,191,048","589,269,543,623,759 SHIB"
ENS,$16.95,"$560,264,091","$41,155,717","33,062,603 ENS"
NEXO,$0.9817,"$549,761,389","$2,465,393","560,000,011 NEXO"
BNX,$1.44,"$538,640,258","$7,101,379","373,705,646 BNX"
W,$0.2059,"$530,698,627","$16,548,677","2,577,873,594 W"
PENDLE,$3.34,"$528,827,406","$37,224,963","158,406,101 PENDLE"
MANA,$0.2748,"$524,399,682","$17,393,163","1,908,319,865 MANA"
RON,$1.50,"$524,125,539","$3,834,644","348,458,623 RON"
MINA,$0.4352,"$503,796,256","$8,076,397","1,157,568,265 MINA"
KLAY,$0.1322,"$502,805,492","$7,175,889","3,803,678,792 KLAY"
TUSD,$0.999,"$495,082,596","$40,934,532","495,601,553 TUSD"
ZEC,$30.06,"$490,854,040","$50,596,491","16,328,269 ZEC"
PAXG,"$2,575.07","$489,070,368","$3,416,081","189,925 PAXG"
CAKE,$1.80,"$488,849,902","$14,241,472","271,964,448 CAKE"
USDe,$0.9991,"$2,661,372,306","$30,763,125","2,663,656,285 USDe"
ZBU,$4.68,"$1,542,654,585","$20,191,920","329,707,787 ZBU"
FLZ,$2.70,"$1,274,411,110","$3,398,106","471,874,940 FLZ"
CHEEL,$17.33,"$984,205,507","$5,498,675","56,797,261 CHEEL"
FTN,$2.51,"$764,135,429","$49,756,314","304,850,250 FTN"
FRAX,$0.9972,"$647,634,650","$3,918,771","649,434,271 FRAX"
AERO,$0.6679,"$410,867,037","$6,055,498","615,155,266 AERO"
BDX,$0.05393,"$360,214,827","$4,567,452","6,679,476,583 BDX"
SUNDOG,$0.3448,"$343,963,154","$162,206,073","997,496,552 SUNDOG"
USDY,$1.06,"$340,216,929","$83,635","322,024,737 USDY"
ORBR,$0.2814,"$285,757,229","$53,932","1,015,586,750 ORBR"
IPV,$1.88,"$282,640,682","$74,565","150,001,000 IPV"
PEPECOIN,$2.36,"$276,490,835","$3,959,869","117,031,933 PEPECOIN"
0x0,$0.1302,"$113,045,751","$221,377","868,563,455 0x0"
AGI,$0.1209,"$112,043,984","$3,268,738","927,108,762 AGI"
MERL,$0.2694,"$111,784,354","$8,907,681","415,000,000 MERL"
OAS,$0.0396,"$111,607,617","$2,177,528","2,818,243,998 OAS"
VVS,$0.052387,"$111,447,132","$176,688","46,697,901,998,084 VVS"
BAL,$0.052387,"$111,302,690","$3,556,514","59,723,741 BAL"
NPC,$1.86,"$111,246,536","$1,994,492","7,248,766,332 NPC"
EVER,$0.01535,"$110,344,646","$541,486","1,985,523,482 EVER"
SURE,$0.05557,"$110,051,007","$429,460","26,790,063,175 SURE"
AZERO,$0.004108,"$108,349,596","$912,301","266,778,951 AZERO"
SABAI,$0.4061,"$107,848,699","$264,692","2,650,000,000 SABAI"
MCOIN,$0.0407,"$107,789,941","$3,057,878","177,000,000 MCOIN"
RLC,$0.609,"$107,632,036","$2,145,295","72,382,548 RLC"
HT,$0.4655,"$75,514,207","$127,562","162,233,844 HT"
PORK,$0.061781,"$74,909,094","$1,376,947","420,690,000,000,000 PORK"
MED,$0.061781,"$74,901,774","$1,529,124","9,035,880,692 MED"
MAV,$0.008289,"$74,782,860","$2,638,558","379,378,357 MAV"
CROWN,$0.1971,"$74,121,178","$302,066","190,615,863 CROWN"
ORBS,$0.3889,"$73,662,690","$2,505,022","3,167,720,359 ORBS"
STMX,$0.02325,"$73,543,597","$11,859,875","12,033,071,448 STMX"
PORTAL,$0.006112,"$73,250,540","$6,011,715","280,719,465 PORTAL"
NAKA,$0.2609,"$72,678,583","$40,570,263","90,463,652 NAKA"
CTK,$0.8034,"$72,577,389","$2,367,256","138,015,407 CTK"
ANYONE,$0.5259,"$72,570,501","$253,589","89,040,922 ANYONE"
BAKE,$0.815,"$71,700,732","$7,065,621","289,770,512 BAKE"
XPLA,$0.2474,"$71,522,211","$270,746","681,354,539 XPLA"
HPO,$0.05264,"$54,473,488","$296,039","1,034,734,273 HPO"
NKN,$0.06979,"$54,329,309","$3,126,936","778,509,275 NKN"
GAME,$0.003441,"$54,283,415","$3,666,475","15,776,762,231 GAME"
RACA,$0.0001452,"$54,248,862","$3,337,579","373,653,438,437 RACA"
BLZ,$0.1237,"$53,863,022","$2,899,986","435,258,234 BLZ"
BFC,$0.03876,"$53,752,750","$138,340","1,386,638,564 BFC"
OGY,$0.006814,"$53,345,677","$197,187","7,828,640,875 OGY"
CET,$0.07514,"$53,246,723","$65,916","708,633,582 CET"
MYRIA,$0.002315,"$53,029,199","$983,565","22,910,619,944 MYRIA"
LAT,$0.008787,"$52,649,153","$6,911,176","5,991,785,256 LAT"
MBX,$0.3746,"$52,351,044","$741,406","139,738,471 MBX"
LTO,$0.1204,"$52,000,363","$2,623,444","431,785,158 LTO"
REEF,$0.002276,"$51,934,005","$31,556,640","22,821,409,581 REEF"
